word,verse_key,surah_id,verse_id,global_verse_number,word_position,ruku,juz,page,audio_file
بِسۡمِ,1:1,1,1,1,0,1,1,1,fullQuran/alafasy_quran_complete/001/001001.mp3
ٱللَّهِ,1:1,1,1,1,1,1,1,1,fullQuran/alafasy_quran_complete/001/001001.mp3
ٱلرَّحۡمَٰنِ,1:1,1,1,1,2,1,1,1,fullQuran/alafasy_quran_complete/001/001001.mp3
ٱلرَّحِيمِ,1:1,1,1,1,3,1,1,1,fullQuran/alafasy_quran_complete/001/001001.mp3
ٱلۡحَمۡدُ,1:2,1,2,2,0,1,1,1,fullQuran/alafasy_quran_complete/001/001002.mp3
لِلَّهِ,1:2,1,2,2,1,1,1,1,fullQuran/alafasy_quran_complete/001/001002.mp3
رَبِّ,1:2,1,2,2,2,1,1,1,fullQuran/alafasy_quran_complete/001/001002.mp3
ٱلۡعَٰلَمِينَ,1:2,1,2,2,3,1,1,1,fullQuran/alafasy_quran_complete/001/001002.mp3
ٱلرَّحۡمَٰنِ,1:3,1,3,3,0,1,1,1,fullQuran/alafasy_quran_complete/001/001003.mp3
ٱلرَّحِيمِ,1:3,1,3,3,1,1,1,1,fullQuran/alafasy_quran_complete/001/001003.mp3
مَٰلِكِ,1:4,1,4,4,0,1,1,1,fullQuran/alafasy_quran_complete/001/001004.mp3
يَوۡمِ,1:4,1,4,4,1,1,1,1,fullQuran/alafasy_quran_complete/001/001004.mp3
ٱلدِّينِ,1:4,1,4,4,2,1,1,1,fullQuran/alafasy_quran_complete/001/001004.mp3
إِيَّاكَ,1:5,1,5,5,0,1,1,1,fullQuran/alafasy_quran_complete/001/001005.mp3
نَعۡبُدُ,1:5,1,5,5,1,1,1,1,fullQuran/alafasy_quran_complete/001/001005.mp3
وَإِيَّاكَ,1:5,1,5,5,2,1,1,1,fullQuran/alafasy_quran_complete/001/001005.mp3
نَسۡتَعِينُ,1:5,1,5,5,3,1,1,1,fullQuran/alafasy_quran_complete/001/001005.mp3
ٱهۡدِنَا,1:6,1,6,6,0,1,1,1,fullQuran/alafasy_quran_complete/001/001006.mp3
ٱلصِّرَٰطَ,1:6,1,6,6,1,1,1,1,fullQuran/alafasy_quran_complete/001/001006.mp3
ٱلۡمُسۡتَقِيمَ,1:6,1,6,6,2,1,1,1,fullQuran/alafasy_quran_complete/001/001006.mp3
صِرَاطَ,1:7,1,7,7,0,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3
الَّذِیْنَ,1:7,1,7,7,1,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3
اَنْعَمْتَ,1:7,1,7,7,2,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3
عَلَیْهِمْ١ۙ۬ۦ,1:7,1,7,7,3,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3
غَیْرِ,1:7,1,7,7,4,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3
الْمَغْضُوْبِ,1:7,1,7,7,5,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3
عَلَیْهِمْ,1:7,1,7,7,6,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3
وَ,1:7,1,7,7,7,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3
لَا,1:7,1,7,7,8,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3
الضَّآلِّیْنَ۠,1:7,1,7,7,9,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3
ۧ,1:7,1,7,7,10,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3
الٓمٓ,2:1,2,1,8,0,1,1,2,fullQuran/alafasy_quran_complete/002/002001.mp3
ذٰلِكَ,2:2,2,2,9,0,1,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3
الْكِتٰبُ,2:2,2,2,9,1,1,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3
لَا,2:2,2,2,9,2,1,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3
رَیْبَ١ۛۖۚ,2:2,2,2,9,3,1,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3
فِیْهِ١ۛۚ,2:2,2,2,9,4,1,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3
هُدًى,2:2,2,2,9,5,1,1,2,fullQuran/alafasy_quran_complete/002/002002.mp3
