word,verse_key,surah_id,verse_id,global_verse_number,word_position,juz,page,audio_file,clip_file,clip_start_sec,clip_end_sec,clip_duration_sec,clip_matched,asr_text,asr_probability
بِسۡمِ,1:1,1,1,1,0,1,1,fullQuran/alafasy_quran_complete/001/001001.mp3,dataset/word_clips/001/001001/word_000.wav,0.0,0.8,0.8,True,بِسْمِ,1.0
ٱللَّهِ,1:1,1,1,1,1,1,1,fullQuran/alafasy_quran_complete/001/001001.mp3,dataset/word_clips/001/001001/word_001.wav,0.72,1.44,0.72,True,اللَّهِ,1.0
ٱلرَّحۡمَٰنِ,1:1,1,1,1,2,1,1,fullQuran/alafasy_quran_complete/001/001001.mp3,dataset/word_clips/001/001001/word_002.wav,1.36,2.58,1.22,True,الرَّحْمَنِ,1.0
ٱلرَّحِيمِ,1:1,1,1,1,3,1,1,fullQuran/alafasy_quran_complete/001/001001.mp3,dataset/word_clips/001/001001/word_003.wav,2.5,5.34,2.84,True,الرَّحِيمِ,1.0
ٱلۡحَمۡدُ,1:2,1,2,2,0,1,1,fullQuran/alafasy_quran_complete/001/001002.mp3,dataset/word_clips/001/001002/word_000.wav,0.0,1.1,1.1,True,الْحَمْدُ,1.0
لِلَّهِ,1:2,1,2,2,1,1,1,fullQuran/alafasy_quran_complete/001/001002.mp3,dataset/word_clips/001/001002/word_001.wav,1.02,1.96,0.94,True,لِلَّهِ,1.0
رَبِّ,1:2,1,2,2,2,1,1,fullQuran/alafasy_quran_complete/001/001002.mp3,dataset/word_clips/001/001002/word_002.wav,1.88,2.52,0.64,True,رَبِّ,1.0
ٱلۡعَٰلَمِينَ,1:2,1,2,2,3,1,1,fullQuran/alafasy_quran_complete/001/001002.mp3,dataset/word_clips/001/001002/word_003.wav,2.44,5.3,2.86,True,الْعَالَمِينَ,1.0
ٱلرَّحۡمَٰنِ,1:3,1,3,3,0,1,1,fullQuran/alafasy_quran_complete/001/001003.mp3,dataset/word_clips/001/001003/word_000.wav,0.0,1.36,1.36,True,الرَّحْمَنِ,1.0
ٱلرَّحِيمِ,1:3,1,3,3,1,1,1,fullQuran/alafasy_quran_complete/001/001003.mp3,dataset/word_clips/001/001003/word_001.wav,1.28,4.06,2.78,True,الرَّحِيمِ,0.9999
مَٰلِكِ,1:4,1,4,4,0,1,1,fullQuran/alafasy_quran_complete/001/001004.mp3,dataset/word_clips/001/001004/word_000.wav,0.0,0.96,0.96,True,مَالِكِ,1.0
يَوۡمِ,1:4,1,4,4,1,1,1,fullQuran/alafasy_quran_complete/001/001004.mp3,dataset/word_clips/001/001004/word_001.wav,0.88,1.52,0.64,True,يَوْمِ,1.0
ٱلدِّينِ,1:4,1,4,4,2,1,1,fullQuran/alafasy_quran_complete/001/001004.mp3,dataset/word_clips/001/001004/word_002.wav,1.44,4.32,2.88,True,الدِّينِ,1.0
إِيَّاكَ,1:5,1,5,5,0,1,1,fullQuran/alafasy_quran_complete/001/001005.mp3,dataset/word_clips/001/001005/word_000.wav,0.0,1.06,1.06,True,إِيَّاكَ,1.0
نَعۡبُدُ,1:5,1,5,5,1,1,1,fullQuran/alafasy_quran_complete/001/001005.mp3,dataset/word_clips/001/001005/word_001.wav,0.98,1.84,0.86,True,نَعْبُدُ,1.0
وَإِيَّاكَ,1:5,1,5,5,2,1,1,fullQuran/alafasy_quran_complete/001/001005.mp3,dataset/word_clips/001/001005/word_002.wav,1.76,3.0,1.24,True,وَإِيَّاكَ,1.0
نَسۡتَعِينُ,1:5,1,5,5,3,1,1,fullQuran/alafasy_quran_complete/001/001005.mp3,dataset/word_clips/001/001005/word_003.wav,2.92,6.38,3.46,True,نَسْتَعِينُ,0.9999
ٱهۡدِنَا,1:6,1,6,6,0,1,1,fullQuran/alafasy_quran_complete/001/001006.mp3,dataset/word_clips/001/001006/word_000.wav,0.0,0.8,0.8,True,اهْدِنَا,1.0
ٱلصِّرَٰطَ,1:6,1,6,6,1,1,1,fullQuran/alafasy_quran_complete/001/001006.mp3,dataset/word_clips/001/001006/word_001.wav,0.72,1.74,1.02,True,الصِّرَاطَ,1.0
ٱلۡمُسۡتَقِيمَ,1:6,1,6,6,2,1,1,fullQuran/alafasy_quran_complete/001/001006.mp3,dataset/word_clips/001/001006/word_002.wav,1.66,5.24,3.58,True,الْمُسْتَقِيمَ,0.9999
صِرَاطَ,1:7,1,7,7,0,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3,dataset/word_clips/001/001007/word_000.wav,0.0,0.96,0.96,True,صِرَاطَ,1.0
الَّذِیْنَ,1:7,1,7,7,1,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3,dataset/word_clips/001/001007/word_001.wav,0.88,1.78,0.9,True,الَّذِينَ,1.0
اَنْعَمْتَ,1:7,1,7,7,2,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3,,,,,False,,
عَلَیْهِمْ١ۙ۬ۦ,1:7,1,7,7,3,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3,dataset/word_clips/001/001007/word_003.wav,1.7,2.76,1.06,True,أَنْعَمْتَ,1.0
غَیْرِ,1:7,1,7,7,4,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3,,,,,False,,
الْمَغْضُوْبِ,1:7,1,7,7,5,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3,,,,,False,,
عَلَیْهِمْ,1:7,1,7,7,6,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3,,,,,False,,
وَ,1:7,1,7,7,7,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3,,,,,False,,
لَا,1:7,1,7,7,8,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3,dataset/word_clips/001/001007/word_008.wav,4.2,5.42,1.22,True,الْمَغْضُوبِ,1.0
الضَّآلِّیْنَ۠,1:7,1,7,7,9,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3,,,,,False,,
ۧ,1:7,1,7,7,10,1,1,fullQuran/alafasy_quran_complete/001/001007.mp3,,,,,False,,
